BUS_STOP_N,BUS_ROOF_N,LOC_DESC,geometry,index_right,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
1012,B03,HOTEL GRAND PACIFIC,POINT (30140.80420233496 31031.95140218735),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
1013,B05,ST JOSEPH'S CH,POINT (30218.75200215355 31126.48700244725),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
1019,B04,BRAS BASAH CPLX,POINT (30187.76950004976 31034.55420283787),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1029,B07,OPP NATL LIB,POINT (30345.82640265487 31007.64460034296),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1039,B09,BUGIS CUBE,POINT (30471.07559711393 31175.63269909471),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1059,B08,BUGIS STN EXIT A,POINT (30570.37110291328 31494.54780267179),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1109,TMNL,QUEEN ST TER,POINT (30603.5596016543 31759.58199746162),98,99,4,ROCHOR CANAL,RCSZ04,Y,ROCHOR,RC,CENTRAL REGION,CR,6DFA7E9068F7B4CE,2014-12-05,30693.783,31819.1316,1686.00945279,120171.321214
1112,B07,OPP BUGIS JUNCTION,POINT (30434.45541529916 31386.44755810685),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
1113,B09,BUGIS STN EXIT B,POINT (30542.32730036043 31509.91389692761),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1119,B06,BUGIS JUNCTION,POINT (30422.01520194206 31320.01729918085),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1121,B11,STAMFORD PR SCH,POINT (30834.09230316244 31818.72510236688),98,99,4,ROCHOR CANAL,RCSZ04,Y,ROCHOR,RC,CENTRAL REGION,CR,6DFA7E9068F7B4CE,2014-12-05,30693.783,31819.1316,1686.00945279,120171.321214
1129,B10,OPP STAMFORD PR SCH,POINT (30815.56099806074 31757.25030276552),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1139,B11,PARKVIEW SQ,POINT (30657.96979808249 31414.26910024695),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1211,B13,OPP BLK 461,POINT (31032.69765818678 31986.51577932388),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1219,B12,BLK 461,POINT (31053.23068655375 31959.8649393823),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1229,B13,BEF SULTAN MQUE,POINT (30923.57450218685 31744.43519988284),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1231,NIL,OPP TEXTILE CTR,POINT (31087.54720045161 31743.54679850675),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1239,B01,SULTAN PLAZA,POINT (31152.54520250857 31688.08460114524),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1311,B01,LAVENDER STN EXIT B,POINT (31216.68719966523 32163.83810250647),125,126,6,LAVENDER,KLSZ06,N,KALLANG,KL,CENTRAL REGION,CR,A7A07F328A38B6EF,2014-12-05,30874.4064,32569.5264,3609.15046338,757907.611102
1319,B02,LAVENDER STN EXIT A / ICA,POINT (31333.49181201123 32207.83262762986),125,126,6,LAVENDER,KLSZ06,N,KALLANG,KL,CENTRAL REGION,CR,A7A07F328A38B6EF,2014-12-05,30874.4064,32569.5264,3609.15046338,757907.611102
1329,B15,BLK 8,POINT (31366.41969999112 31915.96759708226),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1339,B04,BEF CRAWFORD BRIDGE,POINT (31445.81810015906 32226.18246494606),81,82,4,KAMPONG BUGIS,KLSZ04,N,KALLANG,KL,CENTRAL REGION,CR,0524461C92F35D94,2014-12-05,32138.2216,32275.6907,4018.1276215,741437.992244
1341,B01,SOUTHBANK,POINT (31468.9739030404 32092.21420283988),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1349,B02,OPP BLK 4,POINT (31578.12639936805 31994.06679827534),81,82,4,KAMPONG BUGIS,KLSZ04,N,KALLANG,KL,CENTRAL REGION,CR,0524461C92F35D94,2014-12-05,32138.2216,32275.6907,4018.1276215,741437.992244
1411,B09,OPP ST JOHN HQ,POINT (31298.60878225043 31607.87784028053),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1419,B10,ST JOHN HQ,POINT (31324.56999576371 31586.2900122609),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1421,B11,OPP GOLDEN MILE CPLX,POINT (31502.49569998961 31744.82709953748),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1429,B12,GOLDEN MILE CPLX,POINT (31523.39149890747 31721.86690324359),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1511,B05,OPP THE GATEWAY,POINT (30821.44130149391 31288.40299980901),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1519,B06,THE GATEWAY,POINT (30839.9557020776 31265.10250191391),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
1521,B07,OPP PLAZA PARKROYAL,POINT (31047.67550300062 31474.33289739117),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1529,B08,PLAZA PARKROYAL,POINT (31012.49870031513 31415.41949854232),99,100,9,CRAWFORD,KLSZ09,N,KALLANG,KL,CENTRAL REGION,CR,97A1E6DEEC6C442D,2014-12-05,31396.8906,31457.287,4634.78429572,850853.913774
1541,B01,BUGIS STN EXIT D,POINT (30669.53684459161 31254.42829908431),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1549,B05,OPP DUO RESIDENCES,POINT (30831.26169747207 31448.8452017922),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1559,B03,LANDMARK VILLAGE HOTEL,POINT (30699.41409752239 31557.09189716913),95,96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014-12-05,30934.989,31623.1483,1681.62699512,171334.391974
1611,B01,AFT RAFFLES HOTEL,POINT (30459.37879968621 30859.9167012088),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
1619,B02,ESPLANADE STN EXIT F,POINT (30413.26232525799 30735.67036511004),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
1621,B03,OPP SHAW TWRS,POINT (30580.58160314243 31039.37859769352),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1629,B04,SHAW TWRS,POINT (30616.45840203203 31035.02399792895),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
1631,B01,AFT BEACH RD,POINT (30501.3144984683 31035.3330977913),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
1639,B02,BEF BEACH RD,POINT (30479.51780295651 31084.88650288805),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
2011,B01,VICTORIA CONCERT HALL,POINT (30070.05820225272 30113.04446125776),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
2029,B04,OPP S'PORE CRICKET CLUB,POINT (30176.56882149912 30128.05954089575),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
2031,B01,ST ANDREW'S CATH,POINT (29991.79410115443 30453.16179691255),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
2049,B01,RAFFLES HOTEL,POINT (30313.52649671119 30762.65449665859),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
2051,B03,THE FLOAT@MARINA BAY,POINT (30843.80960204545 30215.83489850536),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2061,B01,THE ESPLANADE,POINT (30572.87010018714 30259.86300163902),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2089,NIL,PAN PACIFIC HOTEL,POINT (30894.44799201749 30438.18650658801),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2099,B03,MARINA CTR TER,POINT (31125.31449999101 30420.1773009114),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2101,B05,AFT S'PORE FLYER,POINT (31169.32227281854 30198.42051270232),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2111,B02,ESPLANADE BRIDGE,POINT (30362.51093706768 30376.69684210047),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
2119,B02A,OPP WAR MEMORIAL PK,POINT (30443.99800556432 30464.50799557008),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2141,NIL,SUNTEC TWR TWO,POINT (30898.60610069335 30913.12760099396),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2149,NIL,SUNTEC TWR THREE,POINT (30915.8148005642 30878.73129724525),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2151,B04,SUNTEC CONVENTION CTR,POINT (30732.28399792314 30625.38879750483),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2159,B03,OPP SUNTEC CONVENTION CTR,POINT (30785.71639903542 30655.39430298284),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2161,B02,PROMENADE STN,POINT (31073.50485995691 30565.23501235247),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2169,B01,PROMENADE STN,POINT (31040.9340460822 30636.16679050773),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2171,B04,OPP THE RITZ-CARLTON,POINT (31077.65399161447 30353.41599463485),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
2181,NIL,SUPREME CT,POINT (29984.17395916209 30195.77590951137),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
3011,B01,FULLERTON SQ,POINT (30231.33809865918 29792.24879775941),42,43,6,CLIFFORD PIER,DTSZ06,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,945CC212CA80626F,2014-12-05,30379.5041,29776.4334,2405.99092471,261843.896816
3019,B02,OUE BAYFRONT,POINT (30203.75989972241 29620.4172018189),42,43,6,CLIFFORD PIER,DTSZ06,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,945CC212CA80626F,2014-12-05,30379.5041,29776.4334,2405.99092471,261843.896816
3021,B01,PRUDENTIAL TWR,POINT (29851.19169710204 29437.51729874499),37,38,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,2014-12-05,29968.6175,29572.7618,1872.7521612,188767.489706
3031,B01,RAFFLES PL STN EXIT F,POINT (29958.85270144232 29400.47649741732),37,38,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,2014-12-05,29968.6175,29572.7618,1872.7521612,188767.489706
3041,B01,TELOK AYER STN EXIT A,POINT (29728.50179775711 29372.82870018482),35,36,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,0FF1661344C84AED,2014-12-05,29153.9676,29158.0443,4297.59991003,587222.678854
3059,B01,ONE RAFFLES QUAY,POINT (30011.70219703205 29279.59319000319),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3071,B03,OPP SO SOFITEL S'PORE,POINT (29805.2665981818 29183.20939989388),26,27,8,CECIL,DTSZ08,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,65AA82AF6F4D925D,2014-12-05,29730.1983,29011.3284,2116.09466694,196619.863187
3111,B05,AFT CAPITAL TWR,POINT (29658.70709758624 28942.12489984185),26,27,8,CECIL,DTSZ08,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,65AA82AF6F4D925D,2014-12-05,29730.1983,29011.3284,2116.09466694,196619.863187
3129,B01,UIC BLDG,POINT (29827.19635818712 28982.18067897484),26,27,8,CECIL,DTSZ08,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,65AA82AF6F4D925D,2014-12-05,29730.1983,29011.3284,2116.09466694,196619.863187
3151,B03,OPP GB BLDG,POINT (29604.64760554023 29040.90144817345),26,27,8,CECIL,DTSZ08,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,65AA82AF6F4D925D,2014-12-05,29730.1983,29011.3284,2116.09466694,196619.863187
3211,B01,BEF SHENTON WAY,POINT (29481.91930303909 28390.20230242983),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3217,B03,OPP AXA TWR,POINT (29614.29900254775 28649.75029809028),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3218,B05,OPP MAS BLDG,POINT (29512.26949961763 28515.01120054349),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3219,NIL,AFT SHENTON WAY,POINT (29518.45970160421 28407.23680194095),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3222,B01,HUB SYNERGY PT,POINT (29292.04019727744 28502.0658978913),21,22,10,ANSON,DTSZ10,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4893F02202845C1D,2014-12-05,29145.35,28466.7783,1586.10005898,103238.482139
3223,B03,TANJONG PAGAR STN EXIT C,POINT (29454.54589893296 28698.99220065214),61,62,9,TANJONG PAGAR,DTSZ09,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4FFE6642FB35D40A,2014-12-05,29397.831,28706.3515,1787.71045089,145518.663868
3239,B02,SHENTON WAY TER,POINT (29738.60370246787 28401.38799728081),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3241,B01A,MAPLETREE ANSON,POINT (29350.29117798526 28570.95154294372),61,62,9,TANJONG PAGAR,DTSZ09,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4FFE6642FB35D40A,2014-12-05,29397.831,28706.3515,1787.71045089,145518.663868
3331,B05,BEF MARINA GDNS DR,POINT (31062.23431908153 28784.82681931369),0,1,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,2014-12-05,31595.8357,29220.1873,5267.3810236,1630379.268
3339,B05,AFT MARINA GDNS DR,POINT (30907.56074906513 28610.61982512102),22,23,1,STRAITS VIEW,SVSZ01,Y,STRAITS VIEW,SV,CENTRAL REGION,CR,21451799CA1AB6EF,2014-12-05,30832.9017,28194.0843,5277.76082729,1127297.23737
3341,B02,BEF GDNS BY THE BAY,POINT (31425.98490297794 28813.2934988346),0,1,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,2014-12-05,31595.8357,29220.1873,5267.3810236,1630379.268
3349,B01,AFT GDNS BY THE BAY,POINT (31462.96619855613 28770.11650284752),0,1,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,2014-12-05,31595.8357,29220.1873,5267.3810236,1630379.268
3369,B03,MARINA BARRAGE,POINT (32012.48711353354 29151.96926396526),0,1,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,2014-12-05,31595.8357,29220.1873,5267.3810236,1630379.268
3371,B04,GDNS BY THE BAY,POINT (31772.50520255323 29101.75990286097),0,1,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,2014-12-05,31595.8357,29220.1873,5267.3810236,1630379.268
3381,B01,THE SAIL,POINT (30200.38215796836 29339.65007616393),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3391,B03,MARINA BAY FINANCIAL CTR,POINT (30419.74505922757 29199.5405830238),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3411,B04,OPP MARINA STH PIER,POINT (31309.91960089467 28237.50950490125),22,23,1,STRAITS VIEW,SVSZ01,Y,STRAITS VIEW,SV,CENTRAL REGION,CR,21451799CA1AB6EF,2014-12-05,30832.9017,28194.0843,5277.76082729,1127297.23737
3419,B02,MARINA STH PIER,POINT (31295.59315097146 28191.17057863995),22,23,1,STRAITS VIEW,SVSZ01,Y,STRAITS VIEW,SV,CENTRAL REGION,CR,21451799CA1AB6EF,2014-12-05,30832.9017,28194.0843,5277.76082729,1127297.23737
3421,NIL,MARINA BAY CRUISE CTR,POINT (30964.22688999586 27667.39286104403),22,23,1,STRAITS VIEW,SVSZ01,Y,STRAITS VIEW,SV,CENTRAL REGION,CR,21451799CA1AB6EF,2014-12-05,30832.9017,28194.0843,5277.76082729,1127297.23737
3501,B01,MARINA BAY SANDS THEATRE,POINT (31041.68149506953 29741.898497466),40,41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014-12-05,30806.2418,29530.167,2897.12642569,521200.522376
3509,B03,BAYFRONT STN EXIT B/MBS,POINT (30978.92096201982 29508.46099785343),40,41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014-12-05,30806.2418,29530.167,2897.12642569,521200.522376
3511,B03,AFT BAYFRONT STN EXIT E,POINT (30857.99189821631 29383.34277545102),40,41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014-12-05,30806.2418,29530.167,2897.12642569,521200.522376
3519,B04,BAYFRONT STN EXIT A,POINT (30837.06900322437 29298.04399897158),40,41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014-12-05,30806.2418,29530.167,2897.12642569,521200.522376
3529,B01,DOWNTOWN STN,POINT (30157.13342504203 29094.63715369068),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
3539,B03,Marina Bay Stn,POINT (30477.71491404623 28886.39038859122),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
4019,B01,OPP BENCOOLEN STN EXIT B,POINT (29832.39158310834 31167.14024835266),45,46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014-12-05,29793.0931,30958.0952,2348.65717267,223206.603187
4029,B03,BEF BENCOOLEN STN EXIT A,POINT (29972.38118684758 31335.64857191592),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
4111,B01,CAPITOL BLDG,POINT (29997.91599859204 30710.06450290419),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
4121,B03,SMU,POINT (29811.33099649847 30951.4449937325),45,46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014-12-05,29793.0931,30958.0952,2348.65717267,223206.603187
4142,B04,ARMENIAN CH,POINT (29825.88950234372 30621.2865971718),45,46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014-12-05,29793.0931,30958.0952,2348.65717267,223206.603187
4143,B02,STAMFORD CT,POINT (29882.72740135901 30729.48150307499),45,46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014-12-05,29793.0931,30958.0952,2348.65717267,223206.603187
4149,B01,GRAND PARK CITY HALL,POINT (29837.80469874572 30566.32249891199),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
